Name,Symbol,Price,Market cap,24h change
Aavegotchi,GHST,1.47,$ 120.4M,-1.72%
Name,Symbol,Price,Market cap,24h change
STP Network,STPT,0.0618,$ 119.92M,+6.40%
Ultra,UOS,0.137,$ 119.12M,+8.80%
Hive,HIVE,0.32,$ 119.05M,+2.27%
Coreum,COREUM,0.307,$ 117.99M,+3.40%
Milady,LADYS,0.0₆133,$ 117.75M,+18.78%
DIA,DIA,0.982,$ 117.49M,-0.48%
Dusk,DUSK,0.318,$ 114.67M,+2.38%
XAI,XAI,0.413,$ 114.42M,+0.49%
DODO,DODO,0.215,$ 113.08M,+3.94%
OX Coin,OX,0.03,$ 112.95M,-2.82%
Bancor,BNT,0.933,$ 112.88M,+4.20%
Hifi Finance,HIFI,0.795,$ 112.53M,+3.22%
Wojak Coin,WOJAK,0.00161,$ 112.17M,+10.52%
WEN,WEN,0.000154,$ 112.05M,+10.21%
Mister Miggles,MIGGLES,0.116,$ 111.05M,+6.22%
Telos,TLOS,0.254,$ 109.63M,+0.26%
Secret,SCRT,0.68,$ 109.68M,+4.60%
